pipeline,judge_provider,judge_model,n,factual_correctness_ratio_mean,grounding_ratio_mean,hallucination_rate_mean,hallucination_high_rate
rag_classic:deepseek:k=3,openai,gpt-4o,4,0.13293650793650794,0.6011904761904762,0.39880952380952384,0.75
rag_classic:deepseek:k=3,openai,gpt-4o-mini,4,0.20833333333333331,0.6244588744588745,0.3755411255411255,0.75
rag_classic:deepseek:k=5,deepseek,deepseek-chat,4,0.25120663650075414,0.7126696832579186,0.2873303167420814,0.5
rag_classic:deepseek:k=5,openai,gpt-4o,4,0.17107843137254902,0.620995670995671,0.379004329004329,0.5
rag_classic:deepseek:k=5,openai,gpt-4o-mini,4,0.19415584415584416,0.6791666666666667,0.3208333333333333,0.5
rag_classic:openai:k=1,anthropic,claude-sonnet-4-20250514,48,0.27077083333333335,0.38343503787878785,0.6165649621212121,0.875
rag_classic:openai:k=1,deepseek,deepseek-chat,49,0.18177587718404042,0.36280465566179854,0.6371953443382015,0.8775510204081632
rag_classic:openai:k=1,openai,gpt-4o,49,0.1785718816331061,0.3351179432812086,0.6648820567187915,0.9387755102040817
rag_classic:openai:k=1,openai,gpt-4o-mini,49,0.3071943929086786,0.32386253202579735,0.6761374679742027,0.8979591836734694
rag_classic:openai:k=3,anthropic,claude-sonnet-4-20250514,47,0.26098784194528873,0.5002525835866262,0.4997474164133739,0.7872340425531915
rag_classic:openai:k=3,deepseek,deepseek-chat,49,0.20346512897533306,0.5094483464381423,0.49055165356185765,0.7346938775510204
rag_classic:openai:k=3,openai,gpt-4o,49,0.18023082359817053,0.4901846452866861,0.5098153547133139,0.8367346938775511
rag_classic:openai:k=3,openai,gpt-4o-mini,49,0.2850391671820243,0.47886263396467477,0.5211373660353252,0.7346938775510204
rag_classic:openai:k=5,anthropic,claude-sonnet-4-20250514,48,0.277375,0.5489986111111111,0.45100138888888885,0.6666666666666666
rag_classic:openai:k=5,deepseek,deepseek-chat,49,0.2228676085818943,0.537982935431915,0.462017064568085,0.6938775510204082
rag_classic:openai:k=5,openai,gpt-4o,49,0.19166978146569985,0.4970502853155914,0.5029497146844085,0.7346938775510204
rag_classic:openai:k=5,openai,gpt-4o-mini,49,0.31830357850766017,0.49813921905758635,0.5018607809424136,0.7142857142857143
rag_dspy:openai:k=1,anthropic,claude-sonnet-4-20250514,49,0.3929591836734694,0.6777551020408163,0.32224489795918365,0.4489795918367347
rag_dspy:openai:k=1,deepseek,deepseek-chat,49,0.33199708454810495,0.6955782312925171,0.304421768707483,0.42857142857142855
rag_dspy:openai:k=1,openai,gpt-4o,49,0.2769193391642371,0.6309037900874636,0.36909620991253644,0.5510204081632653
rag_dspy:openai:k=1,openai,gpt-4o-mini,49,0.434495776332511,0.5536368393511251,0.44636316064887493,0.5918367346938775
rag_dspy:openai:k=3,anthropic,claude-sonnet-4-20250514,49,0.32142857142857145,0.8258163265306123,0.17418367346938776,0.2653061224489796
rag_dspy:openai:k=3,deepseek,deepseek-chat,49,0.28434065934065933,0.8227498691784406,0.1772501308215594,0.24489795918367346
rag_dspy:openai:k=3,openai,gpt-4o,49,0.22881998953427524,0.7828231292517007,0.21717687074829933,0.30612244897959184
rag_dspy:openai:k=3,openai,gpt-4o-mini,49,0.3986394557823129,0.7170068027210884,0.2829931972789116,0.32653061224489793
rag_dspy:openai:k=5,anthropic,claude-sonnet-4-20250514,49,0.3440204081632653,0.8344693877551022,0.16553061224489793,0.20408163265306123
rag_dspy:openai:k=5,deepseek,deepseek-chat,49,0.309962996187486,0.8632746505195484,0.1367253494804515,0.16326530612244897
rag_dspy:openai:k=5,openai,gpt-4o,49,0.271498965886721,0.8276239067055394,0.17237609329446063,0.24489795918367346
rag_dspy:openai:k=5,openai,gpt-4o-mini,49,0.4234313872068974,0.7377195933318382,0.26228040666816177,0.3673469387755102
rag_graph:anthropic:k=1:mn=10,anthropic,claude-sonnet-4-20250514,49,0.1871530612244898,0.5521224489795918,0.4478775510204082,0.6938775510204082
rag_graph:anthropic:k=1:mn=10,deepseek,deepseek-chat,50,0.09365137347285012,0.4479875976187256,0.5520124023812744,0.84
rag_graph:anthropic:k=1:mn=10,openai,gpt-4o,52,0.1411341567776006,0.5171777350748534,0.48282226492514657,0.7307692307692307
rag_graph:anthropic:k=1:mn=10,openai,gpt-4o-mini,52,0.37177323681848573,0.5444059805202339,0.4555940194797661,0.6153846153846154
rag_graph:anthropic:k=3:mn=10,anthropic,claude-sonnet-4-20250514,50,0.15242,0.6895323030303031,0.31046769696969695,0.4
rag_graph:anthropic:k=3:mn=10,deepseek,deepseek-chat,50,0.08480734615787786,0.5425054354927016,0.45749456450729836,0.7
rag_graph:anthropic:k=3:mn=10,openai,gpt-4o,50,0.14804659951331778,0.6553281946811359,0.34467180531886416,0.56
rag_graph:anthropic:k=3:mn=10,openai,gpt-4o-mini,52,0.4400715282078404,0.6557814608719585,0.3442185391280414,0.5384615384615384
rag_graph:anthropic:k=5:mn=10,anthropic,claude-sonnet-4-20250514,50,0.14269,0.6379206666666667,0.36207933333333336,0.46
rag_graph:anthropic:k=5:mn=10,deepseek,deepseek-chat,50,0.06745111471215254,0.5274245024452522,0.47257549755474776,0.76
rag_graph:anthropic:k=5:mn=10,openai,gpt-4o,52,0.12336567668789626,0.600937481636011,0.3990625183639889,0.5961538461538461
rag_graph:anthropic:k=5:mn=10,openai,gpt-4o-mini,54,0.37864307986857004,0.5686266529403784,0.43137334705962155,0.6296296296296297
rag_graph:deepseek:k=1:mn=10,deepseek,deepseek-chat,4,0.10096153846153846,0.5347707847707848,0.46522921522921523,0.75
rag_graph:deepseek:k=1:mn=10,openai,gpt-4o,4,0.10989010989010989,0.5689393939393939,0.4310606060606061,0.75
rag_graph:deepseek:k=1:mn=10,openai,gpt-4o-mini,4,0.13392857142857142,0.49182900432900434,0.5081709956709957,0.75
rag_graph:deepseek:k=3:mn=10,deepseek,deepseek-chat,4,0.13942307692307693,0.7163461538461539,0.28365384615384615,0.5
rag_graph:deepseek:k=3:mn=10,openai,gpt-4o,4,0.10817307692307693,0.6971153846153846,0.3028846153846154,0.5
rag_graph:deepseek:k=3:mn=10,openai,gpt-4o-mini,4,0.27313311688311687,0.6590909090909091,0.34090909090909094,0.5
rag_graph:deepseek:k=5:mn=10,deepseek,deepseek-chat,4,0.14102564102564102,0.6231060606060606,0.37689393939393945,0.5
rag_graph:deepseek:k=5:mn=10,openai,gpt-4o,4,0.18127705627705626,0.5818181818181818,0.4181818181818182,0.5
rag_graph:deepseek:k=5:mn=10,openai,gpt-4o-mini,4,0.2772727272727273,0.625,0.375,0.5
rag_graph:openai:k=1:mn=10,anthropic,claude-sonnet-4-20250514,48,0.2668125,0.5028333333333334,0.4971666666666667,0.7708333333333334
rag_graph:openai:k=1:mn=10,deepseek,deepseek-chat,49,0.18302627078137282,0.4876585999034978,0.5123414000965022,0.7755102040816326
rag_graph:openai:k=1:mn=10,openai,gpt-4o,49,0.17861237402053728,0.4609057042730512,0.5390942957269488,0.8367346938775511
rag_graph:openai:k=1:mn=10,openai,gpt-4o-mini,49,0.30867397908214234,0.42401713932326174,0.5759828606767382,0.8163265306122449
rag_graph:openai:k=3:mn=10,anthropic,claude-sonnet-4-20250514,48,0.28479166666666667,0.6057291666666667,0.39427083333333335,0.625
rag_graph:openai:k=3:mn=10,deepseek,deepseek-chat,49,0.2409650440262685,0.6028248961922431,0.3971751038077569,0.6122448979591837
rag_graph:openai:k=3:mn=10,openai,gpt-4o,49,0.21460155490767738,0.5794924463291811,0.42050755367081893,0.673469387755102
rag_graph:openai:k=3:mn=10,openai,gpt-4o-mini,49,0.3951570538305232,0.5445410032144725,0.4554589967855274,0.6326530612244898
rag_graph:openai:k=5:mn=10,anthropic,claude-sonnet-4-20250514,49,0.22714285714285715,0.5803358070500928,0.41966419294990726,0.6326530612244898
rag_graph:openai:k=5:mn=10,deepseek,deepseek-chat,50,0.16566183816183816,0.5621950826950827,0.43780491730491733,0.66
rag_graph:openai:k=5:mn=10,openai,gpt-4o,50,0.15412049062049063,0.53498556998557,0.46501443001443,0.74
rag_graph:openai:k=5:mn=10,openai,gpt-4o-mini,50,0.26911111111111113,0.4741240981240981,0.5258759018759018,0.7
zeroshot:anthropic,anthropic,claude-sonnet-4-20250514,50,0.1501,,,
zeroshot:anthropic,deepseek,deepseek-chat,50,0.05530624518240617,,,
zeroshot:anthropic,openai,gpt-4o,52,0.07809326241391458,,,
zeroshot:anthropic,openai,gpt-4o-mini,50,0.3184134199134199,,,
zeroshot:deepseek,deepseek,deepseek-chat,5,0.12444444444444444,,,
zeroshot:deepseek,openai,gpt-4o,5,0.06895604395604396,,,
zeroshot:deepseek,openai,gpt-4o-mini,5,0.16952380952380952,,,
zeroshot:openai,anthropic,claude-sonnet-4-20250514,49,0.20122448979591837,,,
zeroshot:openai,deepseek,deepseek-chat,49,0.10971871099422119,,,
zeroshot:openai,openai,gpt-4o,49,0.10724151132314398,,,
zeroshot:openai,openai,gpt-4o-mini,49,0.25891495126189,,,
